timestamp_us,yaw_err,pitch_err,roll_err,curr_yaw,curr_pitch,curr_roll,target_yaw,target_pitch,target_roll,att_0,att_1,att_2,U1,U2,U3,U4,n0,n1,n2,n3
27644779748,-0.00743283,0.000730046,0.00285976,0.00743283,-0.000730046,-0.00285976,0,0,0,0.00999739,0.00255779,-0.00743285,2.88628,0.000837162,0.000214184,-0.000622412,0.721522,0.722145,0.721308,0.721308
27644787733,-0.00746762,0.00112719,0.00124061,0.00746762,-0.00112719,-0.00124061,0,0,0,0.00433041,0.00394803,-0.00746763,2.88628,0.00036262,0.0003306,-0.000625325,0.72158,0.721909,0.721249,0.721546
27644795679,-0.0074994,-0.000420433,0.00167835,0.0074994,0.000420433,-0.00167835,0,0,0,0.00587739,-0.00148274,-0.00749942,2.88628,0.000492161,-0.000124161,-0.000627987,0.721352,0.721974,0.721476,0.721482
27644804090,-0.00753482,0.0010196,0.0022881,0.00753482,-0.0010196,-0.0022881,0,0,0,0.00801278,0.00357905,-0.00753484,2.88628,0.000670975,0.000299703,-0.000630953,0.721563,0.722064,0.721263,0.721393
27644811642,-0.00757024,0.00177338,0.00365172,0.00757024,-0.00177338,-0.00365172,0,0,0,0.0127909,0.00621231,-0.00757026,2.88628,0.00107109,0.000520207,-0.000633919,0.721673,0.722265,0.721152,0.721194
27644820191,-0.00760243,0.00119653,0.0021137,0.00760243,-0.00119653,-0.0021137,0,0,0,0.0073868,0.00418366,-0.00760244,2.88628,0.000618556,0.000350332,-0.000636614,0.721587,0.722039,0.721237,0.721421
27644828007,-0.00763554,0.000977605,0.000493184,0.00763554,-0.000977605,-0.000493184,0,0,0,0.0017144,0.00342003,-0.00763556,2.88628,0.00014356,0.000286387,-0.000639387,0.721554,0.721803,0.721268,0.721659
27644835962,-0.00766868,0.000765167,0.0020552,0.00766868,-0.000765167,-0.0020552,0,0,0,0.00720453,0.00267655,-0.00766869,2.88628,0.000603293,0.000224129,-0.000642161,0.721522,0.722033,0.721298,0.72143
27644906246,-0.00770278,0.00087967,0.000425146,0.00770278,-0.00087967,-0.000425146,0,0,0,0.00147619,0.00307967,-0.0077028,2.88628,0.000123614,0.000257886,-0.000645018,0.721539,0.721794,0.721281,0.72167
27644914230,-0.0077359,0.00078814,0.00197458,0.0077359,-0.00078814,-0.00197458,0,0,0,0.00692225,0.00275783,-0.00773592,2.88628,0.000579656,0.000230935,-0.000647791,0.721524,0.722023,0.721293,0.721443
27644921999,-0.00777132,0.00223415,0.00250256,0.00777132,-0.00223415,-0.00250256,0,0,0,0.0087628,0.00782999,-0.00777134,2.88628,0.00073378,0.000655668,-0.000650757,0.721736,0.7221,0.72108,0.721367
27644930107,-0.00780291,0.000649611,0.0028341,0.00780291,-0.000649611,-0.0028341,0,0,0,0.00992174,0.00226215,-0.00780293,2.88628,0.000830828,0.000189428,-0.000653402,0.721502,0.72215,0.721313,0.721319
27644938333,-0.00783796,0.00163246,0.00399019,0.00783796,-0.00163246,-0.00399019,0,0,0,0.013974,0.00572074,-0.00783798,2.88628,0.00117016,0.000479043,-0.000656337,0.721646,0.72232,0.721167,0.72115
27644946301,-0.00787016,0.00040942,0.00282482,0.00787016,-0.00040942,-0.00282482,0,0,0,0.00987842,0.0014241,-0.00787017,2.88628,0.0008272,0.000119252,-0.000659033,0.721466,0.722149,0.721347,0.721322
27644954188,-0.00790536,0.00153584,0.00164024,0.00790536,-0.00153584,-0.00164024,0,0,0,0.00573224,0.00538362,-0.00790538,2.88628,0.000480006,0.000450814,-0.000661981,0.721631,0.721976,0.72118,0.721496
27644962073,-0.00793864,0.000877616,0.00303862,0.00793864,-0.000877616,-0.00303862,0,0,0,0.0106453,0.00306688,-0.00793866,2.88628,0.000891417,0.000256815,-0.000664768,0.721533,0.722183,0.721276,0.721291
27644970148,-0.0079732,0.000889384,0.00137897,0.0079732,-0.000889384,-0.00137897,0,0,0,0.00481436,0.00311293,-0.00797322,2.88628,0.000403145,0.000260671,-0.000667662,0.721534,0.721939,0.721274,0.721536
27644978269,-0.00800657,0.000435704,0.00287988,0.00800657,-0.000435704,-0.00287988,0,0,0,0.0100905,0.00152168,-0.00800659,2.88628,0.000844956,0.000127422,-0.000670456,0.721467,0.722161,0.72134,0.721316
27644986233,-0.00804231,0.000658196,0.00126621,0.00804231,-0.000658196,-0.00126621,0,0,0,0.00442004,0.0023053,-0.00804232,2.88628,0.000370125,0.000193041,-0.000673449,0.721499,0.721924,0.721306,0.721554
27644994205,-0.00807836,0.00179686,0.000120132,0.00807836,-0.00179686,-0.000120132,0,0,0,0.000412152,0.00629727,-0.00807838,2.88628,3.45128e-05,0.000527321,-0.000676468,0.721665,0.721757,0.721138,0.721723
27645069390,-0.00811246,0.000730229,0.00129077,0.00811246,-0.000730229,-0.00129077,0,0,0,0.00452617,0.00254807,-0.00811248,2.88628,0.000379013,0.00021337,-0.000679323,0.721508,0.72193,0.721294,0.721551
27645077388,-0.00814974,0.00225924,0.000811515,0.00814974,-0.00225924,-0.000811515,0,0,0,0.00283683,0.00791844,-0.00814976,2.88628,0.00023755,0.000663075,-0.000682445,0.721732,0.72186,0.721069,0.721623
27645085368,-0.00818488,0.0011203,0.00191434,0.00818488,-0.0011203,-0.00191434,0,0,0,0.00670817,0.00391278,-0.0081849,2.88628,0.000561729,0.000327649,-0.000685388,0.721563,0.722023,0.721236,0.721461
27645093299,-0.00822009,0.000697106,0.00342074,0.00822009,-0.000697106,-0.00342074,0,0,0,0.0119835,0.0024368,-0.0082201,2.88628,0.00100348,0.000204053,-0.000688336,0.721501,0.722245,0.721297,0.721241
27645101414,-0.00825727,0.00168203,0.0021183,0.00825727,-0.00168203,-0.0021183,0,0,0,0.0074046,0.00589426,-0.00825729,2.88628,0.000620047,0.000493574,-0.00069145,0.721645,0.722054,0.721151,0.721434
27645109274,-0.00829275,0.000594184,0.00324579,0.00829275,-0.000594184,-0.00324579,0,0,0,0.0113685,0.00207176,-0.00829277,2.88628,0.000951973,0.000173485,-0.000694421,0.721484,0.72222,0.721311,0.721269
27645117134,-0.00833097,0.00190891,0.00230049,0.00833097,-0.00190891,-0.00230049,0,0,0,0.00804486,0.00669072,-0.00833099,2.88628,0.000673661,0.000560268,-0.000697621,0.721677,0.722082,0.721116,0.721408
27645125118,-0.00836617,0.000519673,0.00306231,0.00836617,-0.000519673,-0.00306231,0,0,0,0.0107236,0.00180879,-0.00836619,2.88628,0.000897975,0.000151464,-0.000700568,0.721471,0.722195,0.72132,0.721297
27645133104,-0.00840398,0.000992498,0.00146983,0.00840398,-0.000992498,-0.00146983,0,0,0,0.00513285,0.00347717,-0.008404,2.88628,0.000429815,0.000291172,-0.000703734,0.721541,0.721962,0.721249,0.721532
27645141173,-0.00844005,-0.000323235,0.000477039,0.00844005,0.000323235,-0.000477039,0,0,0,0.00166244,-0.00114086,-0.00844007,2.88628,0.000139209,-9.55336e-05,-0.000706755,0.721346,0.721817,0.721442,0.721678
27645149242,-0.00847726,0.000573451,0.00173893,0.00847726,-0.000573451,-0.00173893,0,0,0,0.00609542,0.00201358,-0.00847728,2.88628,0.000510419,0.000168613,-0.000709871,0.721478,0.722004,0.721309,0.721493
27645157459,-0.00851478,0.00113994,0.00317662,0.00851478,-0.00113994,-0.00317662,0,0,0,0.0111286,0.00399388,-0.0085148,2.88628,0.000931888,0.00033444,-0.000713012,0.72156,0.722215,0.721225,0.721283
27645165402,-0.00855132,0.00076105,0.00157231,0.00855132,-0.00076105,-0.00157231,0,0,0,0.00549144,0.00266093,-0.00855134,2.88628,0.000459843,0.000222821,-0.000716073,0.721503,0.72198,0.72128,0.72152
27645240658,-0.00858995,0.00187486,0.00265493,0.00858995,-0.00187486,-0.00265493,0,0,0,0.00930009,0.00657009,-0.00858997,2.88628,0.000778772,0.000550167,-0.000719308,0.721666,0.72214,0.721116,0.721361
27645248574,-0.00862559,0.00133264,0.00109241,0.00862559,-0.00133264,-0.00109241,0,0,0,0.00381211,0.0046603,-0.00862561,2.88628,0.000319218,0.000390245,-0.000722292,0.721585,0.721911,0.721195,0.721592
27645256442,-0.00866126,6.7028e-05,3.00551e-05,0.00866126,-6.7028e-05,-3.00551e-05,0,0,0,9.74908e-05,0.000225422,-0.00866128,2.88628,8.16369e-06,1.88764e-05,-0.000725279,0.721399,0.721756,0.72138,0.721748
27645264478,-0.00869724,0.00047613,0.00151147,0.00869724,-0.00047613,-0.00151147,0,0,0,0.0053009,0.00166942,-0.00869726,2.88628,0.000443887,0.000139794,-0.000728292,0.721459,0.721975,0.721319,0.721531
27645272547,-0.00873297,0.000598823,0.00303634,0.00873297,-0.000598823,-0.00303634,0,0,0,0.0106382,0.00209677,-0.00873299,2.88628,0.000890826,0.00017558,-0.000731283,0.721476,0.722199,0.7213,0.721308
