time,e0,e1,e2,e3,wx,wy,wz,x,y,z,xp,yp,zp,input1,input2,input3,input4
2.22,0.999955,-0.00921637,0.00134636,-0.00171749,0.000565879,-0.000426072,0.000274053,0.0744178,0.0157918,0.0586314,0.0125553,0.0271399,0.107791,34.2235,-0.0146047,0.00342158,0.0458783
2.24,0.999955,-0.00919911,0.00135294,-0.00171087,0.00109434,0.00263837,0.000275153,0.0745282,0.0155333,0.0579607,0.0127251,0.0265278,0.107588,36.1066,0.00912829,-0.0173747,-0.0234667
2.26,0.999955,-0.00920544,0.00136656,-0.00171014,-0.000769883,0.003171,0.000275154,0.0745689,0.0154565,0.0577932,0.0129211,0.0263779,0.107176,32.1904,-0.0124156,-0.00962466,-0.0389499
2.28,0.999955,-0.00921265,0.00137243,-0.00170952,0.00122749,-0.000291107,0.000674624,0.0746571,0.0153209,0.0575368,0.013221,0.0263897,0.106838,35.5814,-0.0407836,0.00986063,-0.112628
2.3,0.999955,-0.00921739,0.00134742,-0.00166615,0.00122749,0.00104047,0.00213936,0.07495,0.0150461,0.0573808,0.0132741,0.025778,0.10643,33.0313,-0.00730668,0.00237081,-0.0029441
2.32,0.999955,-0.00921714,0.00137126,-0.00166618,0.0033559,0.00250576,-0.00092328,0.0750437,0.0148951,0.0570526,0.0136596,0.0252018,0.105762,36.1015,0.00573514,0.00740047,0.0853735
2.34,0.999955,-0.00921481,0.00136456,-0.00166683,0.00135853,-0.00188845,-0.000124329,0.0750933,0.0148256,0.0569275,0.0136078,0.0250585,0.105561,36.5693,-0.0255807,0.00559897,0.0521015
2.36,0.999955,-0.00920483,0.00137828,-0.00166565,0.00215748,0.00263892,-0.000257476,0.0753452,0.0145558,0.0566516,0.0132867,0.0245916,0.104197,33.3182,-0.0111608,0.0237622,-0.144725
2.38,0.999955,-0.00919668,0.00138653,-0.00168554,0.00069274,0.000242075,-0.00132274,0.0756323,0.0144005,0.0569706,0.0142384,0.0240803,0.103923,37.4795,0.00267002,-0.00473885,0.0592086
2.4,0.999955,-0.00919565,0.0013812,-0.0016872,0.000825901,-0.00148898,-0.000390637,0.0756961,0.0143818,0.0570992,0.014043,0.0240509,0.103945,34.1079,-0.0133074,0.0152535,-0.00282902
2.42,0.999955,-0.00920147,0.00137372,-0.00168989,-0.000905149,-0.00202161,-0.000656952,0.0757477,0.0143451,0.057176,0.0140461,0.024105,0.103745,34.6379,-0.0249314,-0.0175661,-0.189847
2.44,0.999955,-0.00925877,0.00135411,-0.00169238,-0.0114272,-0.00614833,0.00173946,0.0760357,0.0142479,0.0578808,0.0149841,0.0247845,0.105948,33.2797,-0.00860819,0.0160588,-0.146382
2.46,0.999954,-0.0093576,0.00134166,-0.00169383,0.00148655,-0.00122061,-0.00132298,0.0763014,0.0140745,0.0577639,0.0149256,0.0252314,0.102823,37.6678,-0.016026,-0.0159246,0.00924065
2.48,0.999954,-0.00933941,0.00133622,-0.00168978,0.00308444,-0.000821145,0.00213913,0.0764154,0.0140139,0.0578667,0.0148916,0.0235458,0.102366,32.2759,0.00750778,0.00964618,0.111216
2.5,0.999954,-0.0093358,0.00133532,-0.00168988,0.00148655,-0.00042166,8.59927e-06,0.0764747,0.0139815,0.0579513,0.015043,0.0227756,0.10239,34.049,-0.00545487,0.00616326,0.0754472
2.52,0.999954,-0.00934601,0.00131701,-0.00166142,0.000953912,-2.21913e-05,0.00293808,0.0767879,0.0138328,0.0586959,0.0147576,0.0211765,0.102438,36.2216,-0.0153861,0.00110571,-0.0250614
